,LocalObservationDateTime,EpochTime,WeatherText,WeatherIcon,HasPrecipitation,PrecipitationType,IsDayTime,Temperature,city
9,2022-08-04T04:00:00+10:00,1659549600, fOGgY ,11,False,,False,"{'Metric': {'Value': 12.2, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 54.0, 'Unit': 'F', 'UnitType': 18}}", BRISbaNe 
10,2022-08-04T03:00:00+10:00,1659546000, fOggY ,11,False,,False,"{'Metric': {'Value': 12.8, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 55.0, 'Unit': 'F', 'UnitType': 18}}", BrISBaNE 
11,2022-08-04T02:00:00+10:00,1659542400, FOGGy ,11,False,,False,"{'Metric': {'Value': 12.8, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 55.0, 'Unit': 'F', 'UnitType': 18}}", BRisbanE 
12,2022-08-04T00:55:00+10:00,1659538500, gRouND FoG ,11,False,,False,"{'Metric': {'Value': 15.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 59.0, 'Unit': 'F', 'UnitType': 18}}", BrIsBANe 
13,2022-08-03T23:55:00+10:00,1659534900, GROUND fOG ,11,False,,False,"{'Metric': {'Value': 16.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 61.0, 'Unit': 'F', 'UnitType': 18}}", bRISbAnE 
14,2022-08-03T22:55:00+10:00,1659531300, GROUND foG ,11,False,,False,"{'Metric': {'Value': 15.9, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 61.0, 'Unit': 'F', 'UnitType': 18}}", BrIsBane 
15,2022-08-03T21:55:00+10:00,1659527700, groUND fOG ,11,False,,False,"{'Metric': {'Value': 17.2, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 63.0, 'Unit': 'F', 'UnitType': 18}}", BRisBANe 
16,2022-08-03T21:00:00+10:00,1659524400, GrouNd foG ,11,False,,False,"{'Metric': {'Value': 16.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 61.0, 'Unit': 'F', 'UnitType': 18}}", brIsbANe 
17,2022-08-03T19:55:00+10:00,1659520500, moSTLy CLEAR ,34,False,,False,"{'Metric': {'Value': 17.3, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 63.0, 'Unit': 'F', 'UnitType': 18}}", BRISBanE 
18,2022-08-03T18:55:00+10:00,1659516900, pArtly CLouDY ,35,False,,False,"{'Metric': {'Value': 17.9, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 64.0, 'Unit': 'F', 'UnitType': 18}}", BrISBANE 
19,2022-08-03T17:55:00+10:00,1659513300, ParTlY Cloudy ,35,False,,False,"{'Metric': {'Value': 18.4, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 65.0, 'Unit': 'F', 'UnitType': 18}}", BRIsBaNe 
20,2022-08-03T16:55:00+10:00,1659509700, pARTLY SUNny ,3,False,,True,"{'Metric': {'Value': 19.9, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 68.0, 'Unit': 'F', 'UnitType': 18}}", BRisBanE 
21,2022-08-03T15:55:00+10:00,1659506100, paRTly sunNy ,3,False,,True,"{'Metric': {'Value': 21.8, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 71.0, 'Unit': 'F', 'UnitType': 18}}", bRiSbaNE 
22,2022-08-03T14:55:00+10:00,1659502500, paRtlY sunNY ,3,False,,True,"{'Metric': {'Value': 22.3, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 72.0, 'Unit': 'F', 'UnitType': 18}}", bRisBANe 
23,2022-08-03T13:55:00+10:00,1659498900, PArtLY SunnY ,3,False,,True,"{'Metric': {'Value': 22.4, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 72.0, 'Unit': 'F', 'UnitType': 18}}", bRisbanE 
0,2022-08-04T12:00:00+10:00,1659578400, cLouDy ,7,False,,True,"{'Metric': {'Value': 22.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 72.0, 'Unit': 'F', 'UnitType': 18}}", SYDNEY 
